計算対象,日付,内容,金額（円）,保有金融機関,大項目,中項目,メモ,振替,ID
1,2023/11/30,"Fila Men's Fitness Long Tights, Mix, M 販売: アマゾンジャパン合同会社",-1494,Amazon.co.jp,日用品,hl_shop,,0,g4HAPMD-Kh_ILwVbZfrDidArmsmjQl03tz1FWHr2BJQ
1,2023/11/30,"Under Armour Men's UA Heat Gear Armour 2.0 3/4 Leggings (Training/Workout), Black / Graphite, 販売: アマゾンジャパン合同会社",-2380,Amazon.co.jp,日用品,hl_shop,,0,DulqfYw0ECGtOFejOn_FKIvWaEGgahyjGna6_qkuJCc
1,2023/11/30,"UNDER ARMOUR UA HeatGear® Armour 2.0 Leggings, Training, Men’s, Black / Graphite, 販売: アマゾンジャパン合同会社",-2809,Amazon.co.jp,日用品,hl_shop,,0,06zodkqqW09-ves19iWb2rTJzFo-cKo17mQoU84ZDL4
1,2023/11/30,"UNDER ARMOUR UA HeatGear® Armour 2.0 Leggings, Training, Men’s, Academy / / Royal, 販売: アマゾンジャパン合同会社",-2639,Amazon.co.jp,日用品,hl_shop,,0,XBEYLc_pnlXo5Umuyd-iJ4kBjo7hGPofqjVLh9PunCg
1,2023/11/30,入 戸塚 出 日暮里,-824,suica chong,住宅,hl_living,,0,Jv8xO_8XexEqpVGVtdaI7S8bZ665vYi__73ubHcQvgo
1,2023/11/30,物販,-120,suica chong,食費,hl_foods,,0,0_RuPIv70lQCP0-L5lBmJWcTP6dTJrMQmxuutstn-rg
1,2023/11/30,入 日暮里 出 戸塚,-824,suica chong,住宅,hl_living,,0,M-mqdj_dJlj-3HI2ZzIzVX2u2Kf49Ih_wpoFhtH_WOA
0,2023/11/29,モバイルSuica(Apple),-3000,三井住友カード,住宅,その他住宅,,1,MPzlvJ7lPQAbMo-Vh0b6sA
1,2023/11/29,ペイペイ*シャショクデリ,-600,エポスカード,食費,hl_foods,,0,LPRIslmJlIazu98KudymHw
1,2023/11/29,入 横浜 出 日暮里,-571,suica chong,住宅,hl_living,,0,BRA4326O2rue4mkQ9zWnqQ7s6i3t7x1KixxGCIwhDCQ
1,2023/11/29,入 星川 出 相鉄横浜,-188,suica chong,住宅,hl_living,,0,llUt4nzIxSBzDMl0Fd5gR9ngBYz18YdpV5ECjEAa2P8
1,2023/11/29,入 相鉄横浜 出 星川,-188,suica chong,住宅,hl_living,,0,uwfZBZ3Hm-6PMf_NEQaPrITmfMq6pEdEZzmU6MaUYlQ
1,2023/11/29,入 日暮里 出 横浜,-571,suica chong,住宅,hl_living,,0,cJTpZ4Mn-NgyjdZv3ISG99xuT06RMmU1AT1torrZb7w
0,2023/11/29,カード モバイル,3000,suica chong,未分類,未分類,,1,uiWOputtmINMSycNkvmfJmxxGPSBNu5MjYp2H0wuink
1,2023/11/29,入 新橋 出 日暮里,-178,モバイルSuica (モバイルSuica ID),住宅,hl_living,,0,cdL18HNgHv8WZkuRlassCEbiXoDuo1XHLm7Ut6Wfetk
1,2023/11/29,入 日暮里 出 新橋,-178,モバイルSuica (モバイルSuica ID),住宅,hl_living,"",0,Cw8cdYq_iyNjpqWc2pjUKFqBay41pRb9wAV8CBRqrEs
0,2023/11/28,AMAZON.CO.JP,-1638,三井住友カード,食費,その他食費,,1,0wFCdKW0ka00VoHmL3H1EA
0,2023/11/28,AMAZON.CO.JP,-10350,三井住友カード,食費,その他食費,,1,MCJypMGBQEBrYTvqDHM7hw
